optimizing function: custom_function1
ALGORITHM: simulated_annealing
epoch      best_fit  
---------- ----------
0          157.55661672795097
1          208.04320895799512
2          207.98105166940022
3          207.98105166940022
4          158.0514841260605
5          158.0514841260605
6          104.37888543001732
7          104.37888543001732
8          104.37888543001732
9          104.30735635577055
10         104.27051022508711
11         165.0236347238252
12         165.00339917286092
13         164.99390204869025
14         151.60840342655803
15         151.60840342655803
16         151.60840342655803
17         151.60840342655803
18         74.61867674038051
19         74.61867674038051
20         68.13148623399763
21         72.85215707742096
22         65.55883743808046
23         65.55883743808046
24         65.49051982180885
25         65.49051982180885
26         65.48694990297803
27         57.593088954653695
28         57.556911980468264
29         57.556911980468264
30         6.407085693111771
31         6.362091346006121
32         6.3590094308861795
33         6.3590094308861795
34         6.3590094308861795
35         6.3590094308861795
36         6.3590094308861795
37         5.424540241300903
38         4.6727980287341575
39         4.6045645858764646
40         4.510360211433887
41         43.54702761895935
42         35.92865938589847
43         35.92865938589847
44         35.92865938589847
45         35.84020714126775
46         3.5165022427026145
47         3.5165022427026145
48         3.5165022427026145
49         3.5165022427026145
50         3.5165022427026145
51         3.3983344438649032
52         3.3983344438649032
53         3.117588647955059
54         3.117588647955059
55         3.117588647955059
56         3.0431841351462188
57         3.0431841351462188
58         3.0431841351462188
59         3.227220087025611
60         3.227220087025611
61         3.227220087025611
62         3.140373323184008
63         2.399401299630777
64         2.3801019294876276
65         2.3442603755580103
66         2.3442603755580103
67         1.4928685543108533
68         1.4928685543108533
69         0.6408241560671393
70         0.6408241560671393
71         0.6408241560671393
72         0.6408241560671393
73         0.6408241560671393
74         0.6408241560671393
75         0.645154943635786
76         0.6404036112356035
77         0.6302735555356269
78         0.06762640055800193
79         0.06762640055800193
80         0.06762640055800193
81         0.06762640055800193
82         -0.396657940123505
83         -0.396657940123505
84         -0.5705722939680516
85         -0.5705722939680516
86         -0.680228472898017
87         -0.680228472898017
88         -0.8101434913716867
89         -0.8101434913716867
90         -0.8101434913716867
91         -0.8101434913716867
92         -0.8101434913716867
93         -0.8521343296237829
94         -0.8521343296237829
95         -0.8521343296237829
96         -0.8521343296237829
97         -0.8521343296237829
98         -0.8521343296237829
99         -0.8521343296237829
best_value:-0.8521343296237829 and location:[1.         0.         5.95369404 1.        ]
