optimizing function: rosenbrock_function
ALGORITHM: hill_climber
epoch      best_fit  
---------- ----------
0          14045.70361444159
1          13200.630663680718
2          12370.487514431958
3          11545.854251946806
4          10430.876502684087
5          6284.005688426898
6          5841.155504273733
7          5423.467901743506
8          5180.9195337390565
9          4891.854740313217
10         74114.8356505335
11         72296.32826439558
12         70016.29720839832
13         68190.8415735795
14         66540.8843149752
15         47579.05563371282
16         44999.4858637249
17         43436.5611921603
18         41292.01811993283
19         39807.4843467101
20         2259.614289040112
21         2058.690699850189
22         1854.9327686153108
23         1651.709772533449
24         1418.3752095918085
25         58265.01917647065
26         55063.60686295115
27         51321.85352282602
28         47659.443807264935
29         45796.28457577357
30         69252.6299221437
31         65627.55434605971
32         62472.66545743354
33         60615.92710498339
34         58769.4104833362
35         66067.4691659627
36         63211.62560085973
37         60968.95542055405
38         59211.281198990604
39         56795.83768366341
40         47710.10086621325
41         45392.89169568999
42         42619.24583015247
43         40404.51492579125
44         38223.41430843712
45         775.6756712617066
46         708.804312835339
47         603.8438619852018
48         525.7041778544349
49         474.3546966493782
50         16297.710573227956
51         14803.925567011423
52         13653.929978592652
53         12332.021059628754
54         11436.571686459933
55         17050.267566523664
56         16104.973811754651
57         15121.833010530081
58         14257.707837181246
59         13511.968720122715
60         56920.35348881999
61         52606.10063401737
62         48853.0586651812
63         45865.16182295242
64         42332.87297435854
65         42501.559929835
66         40179.183997604756
67         38720.90434710139
68         37046.20655572694
69         35525.519080785205
70         1877.9635235555784
71         1614.3519100305716
72         1387.2054143900225
73         1154.1524199303096
74         921.8495010739663
75         52486.67338118414
76         49142.28455889032
77         46259.753595448106
78         43345.2461765864
79         40991.95002469437
80         68107.43696318708
81         63847.755897256684
82         61195.64865209331
83         57131.00670727958
84         54439.59688143709
85         54183.60488596895
86         50544.289470785436
87         47824.65286812977
88         45163.765552818266
89         42542.013727737205
90         4729.585875041493
91         4388.149992953771
92         3920.901227695146
93         3458.29264420052
94         3086.7594548113248
95         32577.609449623484
96         30118.861963324147
97         28231.974548812672
98         26561.942241611574
99         24624.30535120832
best_value:474.3546966493782 and location:[-1.47353565  1.68003753  1.5448736   0.71300728]
