optimizing function: rosenbrock_function
ALGORITHM: simulated_annealing
epoch      best_fit  
---------- ----------
0          43029.97534850522
1          43029.97534850522
2          43029.97534850522
3          42633.47009994157
4          38027.452960190785
5          18779.042708153014
6          18779.042708153014
7          18779.042708153014
8          18179.474164788015
9          18179.474164788015
10         18167.99569625759
11         18167.99569625759
12         9081.691637093976
13         9081.691637093976
14         9152.927623766609
15         9083.018197730033
16         9083.018197730033
17         9083.018197730033
18         9083.018197730033
19         9083.018197730033
20         9083.018197730033
21         9083.018197730033
22         9083.018197730033
23         9083.018197730033
24         9083.018197730033
25         9083.018197730033
26         9083.018197730033
27         9083.018197730033
28         9083.018197730033
29         9083.018197730033
30         2909.9642047894645
31         2909.9642047894645
32         2510.7025443470793
33         1080.8519868515486
34         1080.8519868515486
35         1080.8519868515486
36         1080.8519868515486
37         1080.8519868515486
38         1080.8519868515486
39         1080.8519868515486
40         1150.7614128881253
41         440.5748786883104
42         440.5748786883104
43         440.5748786883104
44         374.10714708546703
45         372.603715277946
46         372.603715277946
47         285.24411718754243
48         278.41999813614007
49         278.41999813614007
50         278.41999813614007
51         278.41999813614007
52         278.41999813614007
53         301.6432801832647
54         301.6432801832647
55         301.6432801832647
56         274.10465567853487
57         274.10465567853487
58         274.10465567853487
59         274.10465567853487
60         274.10465567853487
61         274.10465567853487
62         186.3137711904109
63         186.3137711904109
64         186.3137711904109
65         186.3137711904109
66         186.3137711904109
67         186.3137711904109
68         186.3137711904109
69         186.3137711904109
70         186.3137711904109
71         186.3137711904109
72         186.3137711904109
73         186.3137711904109
74         186.3137711904109
75         186.3137711904109
76         186.3137711904109
77         186.3137711904109
78         186.3137711904109
79         186.3137711904109
80         186.3137711904109
81         186.3137711904109
82         186.3137711904109
83         186.3137711904109
84         186.3137711904109
85         186.3137711904109
86         186.3137711904109
87         186.3137711904109
88         186.3137711904109
89         186.3137711904109
90         186.3137711904109
91         186.3137711904109
92         186.3137711904109
93         186.3137711904109
94         186.3137711904109
95         186.3137711904109
96         186.3137711904109
97         186.3137711904109
98         186.3137711904109
99         186.3137711904109
best_value:186.3137711904109 and location:[-0.02964568 -1.18595584  2.0274466   4.11631513]
